Magnetar Loan Planner
A9 2026 Magnetar. All rights reserved.

Scenario 1 Summary
EMI,299.71
Total Payable,"10,789.52"
Total Interest,789.52
Processing Fee,0.00
Effective Total Cost,"10,789.52"
Number of Payments,36
Estimated Payoff Date,2029-08-18

Scenario 2 Summary
EMI,322.67
Total Payable,"10,939.01"
Total Interest,939.01
Processing Fee,0.00
Effective Total Cost,"10,939.01"
Number of Payments,21
Estimated Payoff Date,2028-05-18

Scenario 3 Summary
EMI,346.65
Total Payable,"11,182.60"
Total Interest,"1,182.60"
Processing Fee,0.00
Effective Total Cost,"11,182.60"
Number of Payments,18
Estimated Payoff Date,2028-02-18

Scenario 1 Amortization Schedule
Payment #,Date,Opening Balance,Payment,Interest,Principal,Closing Balance
1,2026-08-18,"10,000.00",299.71,41.67,258.04,"9,741.96"
2,2026-09-18,"9,741.96",299.71,40.59,259.12,"9,482.84"
3,2026-10-18,"9,482.84",299.71,39.51,260.20,"9,222.64"
4,2026-11-18,"9,222.64",299.71,38.43,261.28,"8,961.36"
5,2026-12-18,"8,961.36",299.71,37.34,262.37,"8,698.99"
6,2027-01-18,"8,698.99",299.71,36.25,263.46,"8,435.53"
7,2027-02-18,"8,435.53",299.71,35.15,264.56,"8,170.97"
8,2027-03-18,"8,170.97",299.71,34.05,265.66,"7,905.30"
9,2027-04-18,"7,905.30",299.71,32.94,266.77,"7,638.53"
10,2027-05-18,"7,638.53",299.71,31.83,267.88,"7,370.65"
11,2027-06-18,"7,370.65",299.71,30.71,269.00,"7,101.65"
12,2027-07-18,"7,101.65",299.71,29.59,270.12,"6,831.54"
13,2027-08-18,"6,831.54",299.71,28.46,271.24,"6,560.29"
14,2027-09-18,"6,560.29",299.71,27.33,272.37,"6,287.92"
15,2027-10-18,"6,287.92",299.71,26.20,273.51,"6,014.41"
16,2027-11-18,"6,014.41",299.71,25.06,274.65,"5,739.76"
17,2027-12-18,"5,739.76",299.71,23.92,275.79,"5,463.97"
18,2028-01-18,"5,463.97",299.71,22.77,276.94,"5,187.02"
19,2028-02-18,"5,187.02",299.71,21.61,278.10,"4,908.93"
20,2028-03-18,"4,908.93",299.71,20.45,279.26,"4,629.67"
21,2028-04-18,"4,629.67",299.71,19.29,280.42,"4,349.25"
22,2028-05-18,"4,349.25",299.71,18.12,281.59,"4,067.67"
23,2028-06-18,"4,067.67",299.71,16.95,282.76,"3,784.91"
24,2028-07-18,"3,784.91",299.71,15.77,283.94,"3,500.97"
25,2028-08-18,"3,500.97",299.71,14.59,285.12,"3,215.85"
26,2028-09-18,"3,215.85",299.71,13.40,286.31,"2,929.54"
27,2028-10-18,"2,929.54",299.71,12.21,287.50,"2,642.03"
28,2028-11-18,"2,642.03",299.71,11.01,288.70,"2,353.33"
29,2028-12-18,"2,353.33",299.71,9.81,289.90,"2,063.43"
30,2029-01-18,"2,063.43",299.71,8.60,291.11,"1,772.32"
31,2029-02-18,"1,772.32",299.71,7.38,292.32,"1,479.99"
32,2029-03-18,"1,479.99",299.71,6.17,293.54,"1,186.45"
33,2029-04-18,"1,186.45",299.71,4.94,294.77,891.69
34,2029-05-18,891.69,299.71,3.72,295.99,595.69
35,2029-06-18,595.69,299.71,2.48,297.23,298.47
36,2029-07-18,298.47,299.71,1.24,298.47,0.00

Scenario 2 Amortization Schedule
Payment #,Date,Opening Balance,Payment,Interest,Principal,Closing Balance
1,2026-08-18,"10,000.00",522.67,83.33,439.34,"9,560.66"
2,2026-09-18,"9,560.66",522.67,79.67,443.00,"9,117.66"
3,2026-10-18,"9,117.66",522.67,75.98,446.69,"8,670.97"
4,2026-11-18,"8,670.97",522.67,72.26,450.41,"8,220.56"
5,2026-12-18,"8,220.56",522.67,68.50,454.17,"7,766.39"
6,2027-01-18,"7,766.39",522.67,64.72,457.95,"7,308.44"
7,2027-02-18,"7,308.44",522.67,60.90,461.77,"6,846.67"
8,2027-03-18,"6,846.67",522.67,57.06,465.62,"6,381.05"
9,2027-04-18,"6,381.05",522.67,53.18,469.50,"5,911.56"
10,2027-05-18,"5,911.56",522.67,49.26,473.41,"5,438.15"
11,2027-06-18,"5,438.15",522.67,45.32,477.35,"4,960.79"
12,2027-07-18,"4,960.79",522.67,41.34,481.33,"4,479.46"
13,2027-08-18,"4,479.46",522.67,37.33,485.34,"3,994.12"
14,2027-09-18,"3,994.12",522.67,33.28,489.39,"3,504.73"
15,2027-10-18,"3,504.73",522.67,29.21,493.47,"3,011.27"
16,2027-11-18,"3,011.27",522.67,25.09,497.58,"2,513.69"
17,2027-12-18,"2,513.69",522.67,20.95,501.72,"2,011.96"
18,2028-01-18,"2,011.96",522.67,16.77,505.91,"1,506.06"
19,2028-02-18,"1,506.06",522.67,12.55,510.12,995.94
20,2028-03-18,995.94,522.67,8.30,514.37,481.56
21,2028-04-18,481.56,485.58,4.01,481.56,0.00

Scenario 3 Amortization Schedule
Payment #,Date,Opening Balance,Payment,Interest,Principal,Closing Balance
1,2026-08-18,"10,000.00",646.65,125.00,521.65,"9,478.35"
2,2026-09-18,"9,478.35",646.65,118.48,528.17,"8,950.17"
3,2026-10-18,"8,950.17",646.65,111.88,534.78,"8,415.40"
4,2026-11-18,"8,415.40",646.65,105.19,541.46,"7,873.94"
5,2026-12-18,"7,873.94",646.65,98.42,548.23,"7,325.71"
6,2027-01-18,"7,325.71",646.65,91.57,555.08,"6,770.62"
7,2027-02-18,"6,770.62",646.65,84.63,562.02,"6,208.60"
8,2027-03-18,"6,208.60",646.65,77.61,569.05,"5,639.56"
9,2027-04-18,"5,639.56",646.65,70.49,576.16,"5,063.40"
10,2027-05-18,"5,063.40",646.65,63.29,583.36,"4,480.04"
11,2027-06-18,"4,480.04",646.65,56.00,590.65,"3,889.39"
12,2027-07-18,"3,889.39",646.65,48.62,598.04,"3,291.35"
13,2027-08-18,"3,291.35",646.65,41.14,605.51,"2,685.84"
14,2027-09-18,"2,685.84",646.65,33.57,613.08,"2,072.76"
15,2027-10-18,"2,072.76",646.65,25.91,620.74,"1,452.01"
16,2027-11-18,"1,452.01",646.65,18.15,628.50,823.51
17,2027-12-18,823.51,646.65,10.29,636.36,187.15
18,2028-01-18,187.15,189.49,2.34,187.15,0.00

